Family,Genus,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (das_level = Low),structural_zero (das_level = Medium),structural_zero (das_level = High)
Veillonellaceae,Megasphaera,-1.33,0.295,0,1.41,-1.39,0.21,0,0.834,0,0.957,FALSE,TRUE,FALSE
Dehalobacteriaceae,Dehalobacterium,0.0977,-0.0965,0.426,0,0.23,-0.248,0.818,0,0.916,0,FALSE,FALSE,TRUE
Desulfovibrionaceae,Desulfovibrio,-0.817,-0.682,0,0,-1.27,-1.04,0,0,0,0,FALSE,TRUE,TRUE
Erysipelotrichaceae,Catenibacterium,-0.626,-0.791,0.776,0,-0.807,-1.05,0.42,0,0.916,0,FALSE,FALSE,TRUE
